Date_Collected,Site,Area,Upwelling,x,y,Colony,Temp,bleaching_level,Total_Energetic_Lipid 
15-May,5,Vaskes Bay ,No,1.83983,-157.48059,818,28.8319,0,0.019538307
15-May,5,Vaskes Bay ,No,1.83982,-157.48059,821,28.8319,0,NA
15-May,5,Vaskes Bay ,No,1.83982,-157.48059,827,28.8319,1,NA
15-May,5,Vaskes Bay ,No,1.83982,-157.48059,831,28.8319,1,NA
15-May,5,Vaskes Bay ,No,1.83982,-157.48059,946,28.8319,0,0.071988859
15-May,5,Vaskes Bay ,No,1.83985,-157.48059,947,28.8319,0,0.137455963
15-May,8,South Lagoon,Yes,1.886,-157.552,717,29.240917,0,0.072360899
15-May,15,Bay of Wrecks,No,1.83004,-157.32169,591,29.240917,0,0.169036974
15-May,15,Bay of Wrecks,No,1.83004,-157.32169,596,29.240917,1,0.081101087
15-May,19,Bay of Wrecks,No,1.80508,-157.27222,650,29.240917,1,0.082743035
15-May,19,Bay of Wrecks,No,1.80508,-157.27222,666,29.240917,0,NA
15-May,19,Bay of Wrecks,No,1.80508,-157.27222,677,29.240917,0,0.163682039
15-May,30,North Lagoon,Yes,2.02555,-157.49788,430,29.19935,0,0.08544142
15-May,30,North Lagoon,Yes,2.02555,-157.49788,441,29.19935,0,0.153708151
15-May,32,North Lagoon,Yes,1.984,-157.48199,489,29.19935,1,NA
15-May,32,North Lagoon,Yes,1.984,-157.48199,499,29.19935,0,0.201549352
15-May,32,North Lagoon,Yes,1.984,-157.48199,753,29.19935,0,0.054235493
15-May,34,South Lagoon,Yes,1.91002,-157.53465,842,29.240917,0,0.114310733
15-May,34,South Lagoon,Yes,1.91002,-157.53465,847,29.240917,0,0.138779838
15-May,34,South Lagoon,Yes,1.91002,-157.53465,853,29.240917,0,0.154964944
15-May,35,South Lagoon,Yes,1.89428,-157.54276,1,29.240917,0,NA
15-May,35,South Lagoon,Yes,1.89428,-157.54276,5,29.240917,0,0.144681561
15-May,35,South Lagoon,Yes,1.89428,-157.54276,15,29.240917,0,NA
15-May,35,South Lagoon,Yes,1.89428,-157.54276,87,29.240917,0,0.062768877
15-May,35,South Lagoon,Yes,1.89428,-157.54276,97,29.240917,0,0.159675152
15-Jul,5,Vaskes Bay ,No,1.83982,-157.48058,818,29.240917,1,0.088561601
15-Jul,5,Vaskes Bay ,No,1.83984,-157.48058,821,29.240917,1,0.029803389
15-Jul,5,Vaskes Bay ,No,1.83982,-157.48058,827,29.240917,0,0.083548595
15-Jul,5,Vaskes Bay ,No,1.83982,-157.48058,831,29.240917,0,0.03598579
15-Jul,5,Vaskes Bay ,No,1.83982,-157.48058,839,29.240917,1,0.019392176
15-Jul,5,Vaskes Bay ,No,1.83982,-157.48058,946,29.240917,1,0.197613751
15-Jul,5,Vaskes Bay ,No,1.83982,-157.48058,947,29.240917,1,0.250481566
15-Jul,8,South Lagoon,Yes,1.886,-157.552,63,28.9317,0,0.096000636
15-Jul,8,South Lagoon,Yes,1.886,-157.552,241,28.9317,0,0.26689289
15-Jul,8,South Lagoon,Yes,1.886,-157.552,717,28.9317,1,0.074365357
15-Jul,8,South Lagoon,Yes,1.886,-157.552,884,28.9317,0,0.151502593
15-Jul,8,South Lagoon,Yes,1.886,-157.552,886,28.9317,2,0.074912034
15-Jul,8,South Lagoon,Yes,1.886,-157.552,888,28.9317,2,0.307223157
15-Jul,15,Bay of Wrecks,No,1.83004,-157.32169,578,29.017221,1,0.116654414
15-Jul,15,Bay of Wrecks,No,1.83004,-157.32169,591,29.017221,1,0.201854743
15-Jul,15,Bay of Wrecks,No,1.83004,-157.32169,596,29.017221,1,0.151456858
15-Jul,19,Bay of Wrecks,No,1.80508,-157.27222,650,29.017221,2,0.095610547
15-Jul,27,North Lagoon,Yes,2.00877,-157.48886,474,29.083189,1,0.310084384
15-Jul,27,North Lagoon,Yes,2.00877,-157.48886,476,29.083189,1,0.046458663
15-Jul,27,North Lagoon,Yes,2.00877,-157.48886,723,29.083189,1,0.120713698
15-Jul,30,North Lagoon,Yes,2.02555,-157.49788,151,29.083189,1,0.014272967
15-Jul,30,North Lagoon,Yes,2.02555,-157.49788,430,29.083189,0,NA
15-Jul,30,North Lagoon,Yes,2.02555,-157.49788,441,29.083189,1,0.071052596
15-Jul,30,North Lagoon,Yes,2.02555,-157.49788,682,29.083189,0,NA
15-Jul,32,North Lagoon,Yes,1.984,-157.48199,489,29.083189,1,0.121334324
15-Jul,32,North Lagoon,Yes,1.984,-157.48199,752,29.083189,2,0.028152946
15-Jul,32,North Lagoon,Yes,1.984,-157.48199,753,29.083189,1,0.171315362
15-Jul,34,South Lagoon,Yes,1.91002,-157.53465,314,28.9317,0,NA
15-Jul,34,South Lagoon,Yes,1.91002,-157.53465,847,28.9317,1,0.196551004
15-Jul,34,South Lagoon,Yes,1.91002,-157.53465,853,28.9317,0,0.162117545
15-Jul,35,South Lagoon,Yes,1.89428,-157.54276,1,28.9317,3,NA
15-Jul,35,South Lagoon,Yes,1.89428,-157.54276,5,28.9317,1,0.146585153
15-Jul,35,South Lagoon,Yes,1.89428,-157.54276,15,28.9317,0,NA
15-Jul,35,South Lagoon,Yes,1.89428,-157.54276,87,28.9317,0,0.103678203
15-Jul,35,South Lagoon,Yes,1.89428,-157.54276,97,28.9317,0,NA
15-Jul,38,North Shore,Yes,2.04559,-157.43419,32,29.053776,1,0.122228334
15-Jul,38,North Shore,Yes,2.04559,-157.43419,194,29.053776,1,0.054192844
15-Jul,38,North Shore,Yes,2.04559,-157.43419,197,29.053776,0,0.197699702
15-Jul,19,Bay of Wrecks,No,1.80508,-157.27222,666,29.017221,2,NA
15-Jul,19,Bay of Wrecks,No,1.80508,-157.27222,677,29.017221,0,0.188962145
16-Mar,5,Vaskes Bay ,No,1.83982,-157.48058,816,28.113539,2,NA
16-Mar,5,Vaskes Bay ,No,1.83982,-157.48058,818,28.113539,3,0.016962728
16-Mar,5,Vaskes Bay ,No,1.83982,-157.48058,821,28.113539,3,0.025943836
